name,uid,code,shortName,description,formName,domainType,valueType,aggregationType,categoryCombinationUid,url,zeroIsSignificant,optionSetValue
New_Target Key Population <15 female,,,Target Key Population <15 F,,Target Key Population <15 female,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Target Key Population >15 female,,,Target Key Population >15 F,,Target Key Population >15 female,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Target Key Population <15 male,,,Target Key Population <15 M,,Target Key Population <15 male,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Target Key Population >15 male,,,Target Key Population >15 M,,Target Key Population >15 male,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Target Key Population current miners,,,Target Key Population CM,,Target Key Population current miners,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Target Key Population ex miners,,,Target Key Population EM,,Target Key Population ex miners,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Target Key Population  of current miners,,,Target Key Population  of CM,,Target Key Population  of current miners,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Target Key Population familly member of exminers,,,Target Key Population FMeX,,Target Key Population familly member of exminers,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Target Key Population community member,,,Target Key Population CM,,Target Key Population community member,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Estimated Number target population in Area <15 female,,,Estimated No target population in Area <15 F,,Estimated Number target population in Area <15 female,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ Sensitized/Provided with TB education <15 female,,, Sensitized/Provided with TB education <15 F,, Sensitized/Provided with TB education <15 female,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ Total number of clients seen <15 female,,, Total No of clients seen <15 F,, Total number of clients seen <15 female,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Number of clients screened for TB  <15 female,,,No of clients screened for TB  <15 F,,Number of clients screened for TB  <15 female,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ Presumptive TB (National screening tool) <15 female,,, Presumptive TB (National screening tool) <15 F,, Presumptive TB (National screening tool) <15 female,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
